PATIENT,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,COVID,DIED,CLASS
7eace1e5-d1c3-4267-be98-0981b0df0764,1923-01-03,1995-11-15,999-63-3152,S99910260,X22452097X,Mrs.,Angelena945,Windler79,,Toy286,M,white,hispanic,F,Somerville  Massachusetts  US,1096 Daniel Wynd Apt 95,Framingham,Massachusetts,Middlesex County,1701.0,42.28889318400961,-71.43924160181399,1697530.34,12571.85,False,True,no_covid_died
525b6aa6-6d57-44b8-b9fa-f917fc73b61c,1917-10-22,1993-11-09,999-82-1999,S99996289,X11852805X,Mr.,Nicholas495,Bradtke547,,,S,white,nonhispanic,M,Belchertown  Massachusetts  US,573 Rodriguez Dale Apt 63,Hingham,Massachusetts,Plymouth County,,42.22514542457605,-70.84917618504821,1385094.25,9948.06,False,True,no_covid_died
9c0ef4c9-e0c6-415e-8ec2-f97e24dbf0be,1948-12-15,1981-04-29,999-29-9098,S99932678,X51519189X,Mrs.,Sage164,Gutkowski940,,Swift555,M,white,nonhispanic,F,Somerville  Massachusetts  US,417 Kerluke Skyway Unit 17,Blackstone,Massachusetts,Worcester County,,42.004802209559934,-71.53358600320183,705012.64,15112.91,False,True,no_covid_died
227b477a-9c8d-4820-bae9-83697ec945e7,1912-09-25,1977-09-21,999-33-1584,S99913468,X79617193X,Mr.,Freddy176,Harris789,,,M,white,nonhispanic,M,Medford  Massachusetts  US,355 Rosenbaum Alley Apt 20,Lynn,Massachusetts,Essex County,1905.0,42.470143102374514,-71.06391802807241,1417608.44,16868.29,False,True,no_covid_died
c2b47758-6a03-4aac-866a-e699021c9d23,1913-04-16,1981-06-06,999-22-4380,S99941082,X86856707X,Mrs.,Victoria535,Considine820,,Grady603,M,white,nonhispanic,F,Stow  Massachusetts  US,118 Ernser Underpass,Shrewsbury,Massachusetts,Worcester County,,42.30380383112465,-71.69616761068825,1294639.45,12201.999999999998,False,True,no_covid_died
6a9af508-c89e-4b71-bada-b67295d1ca23,1942-11-24,2003-07-15,999-93-1990,S99936477,X48391993X,Mr.,Harold594,Reichel38,,,M,white,nonhispanic,M,Chicopee  Massachusetts  US,413 Rodriguez Ramp Unit 81,Fall River,Massachusetts,Bristol County,2721.0,41.670537483631655,-71.17191497826445,1550254.78,7400.12,False,True,no_covid_died
9eb75c61-8e6b-436a-a938-8aa2f9313bc1,1922-08-15,1995-04-25,999-35-6978,S99975051,X75639713X,Mr.,Marshall526,Bernier607,,,M,black,nonhispanic,M,Groton  Massachusetts  US,108 Grady Row Unit 6,Worcester,Massachusetts,Worcester County,1606.0,42.29912907719804,-71.81656981725506,1457228.22,46253.48999999999,False,True,no_covid_died
46815a2d-74c3-4546-b72a-cd5df8dedc07,1911-12-17,1975-02-12,999-42-8857,S99983389,X53740910X,Mr.,Reyes140,Wiza601,,,M,white,nonhispanic,M,Worcester  Massachusetts  US,174 Runolfsdottir Extension,West Tisbury,Massachusetts,Dukes County,,41.43936060460848,-70.68103657009873,1680721.65,3856.32,False,True,no_covid_died
5dff6304-2aa0-4991-a18e-c34485a40241,1923-01-03,1980-07-17,999-63-9956,S99963546,X31566907X,Mrs.,Beatriz277,Stehr398,,Williamson769,M,white,hispanic,F,Bridgewater  Massachusetts  US,774 Thompson Ramp Apt 6,Framingham,Massachusetts,Middlesex County,,42.28562206087767,-71.39821437011534,1258024.63,5740.16,False,True,no_covid_died
19a68195-4c9a-4792-87ea-5c2679b1eb64,1924-06-03,1992-05-05,999-32-1668,S99949532,X80251173X,Mrs.,Lavette209,Graham902,,Okuneva707,M,white,nonhispanic,F,Quincy  Massachusetts  US,171 Feeney Trail Suite 38,Acushnet,Massachusetts,Bristol County,,41.69063637706506,-70.87457991496272,1388521.84,16346.619999999995,False,True,no_covid_died
ce7857a0-cd2d-4c02-b2c0-f1b4e6a768f8,1984-12-31,2019-05-08,999-58-4643,S99996598,X64338775X,Mrs.,Ricki338,Brekke496,,Wisozk929,M,white,nonhispanic,F,Waltham  Massachusetts  US,622 Beahan Ranch Unit 71,Yarmouth,Massachusetts,Barnstable County,,41.63989823557445,-70.2192151816402,760366.52,7068.779999999999,False,True,no_covid_died
d28534e8-9913-4958-8251-b2d3258d240d,1964-08-25,2020-02-29,999-34-5067,S99961293,X38399719X,Mr.,Thaddeus38,Hand679,,,M,white,nonhispanic,M,Dartmouth  Massachusetts  US,420 Feeney Spur Unit 26,Springfield,Massachusetts,Hampden County,1128.0,42.18842835034207,-72.57592851923336,1349986.83,7133.52,False,True,no_covid_died
d371b734-9dad-40e2-afc2-b089311be374,1941-02-28,1979-09-14,999-25-8900,S99992549,X57816521X,Mr.,Edwardo860,Weissnat378,,,S,black,hispanic,M,Plymouth  Massachusetts  US,117 Runolfsson Path,Springfield,Massachusetts,Hampden County,1105.0,42.16612372748273,-72.5717306828817,7080.599999999999,0.0,False,True,no_covid_died
ff1163fb-6be9-4339-9c8e-512574e36ad4,1924-06-06,2011-05-13,999-97-8953,S99959640,X72494011X,Mr.,Alvin56,Williamson769,,,M,white,hispanic,M,Milford  Massachusetts  US,900 Pfeffer Ville,Southbridge,Massachusetts,Worcester County,,42.08568105137518,-72.03470797270808,1560990.49,17334.25,False,True,no_covid_died
5a74ebc9-7923-4b92-a2ad-83464cf10483,1954-06-18,2018-07-15,999-20-8197,S99936456,X43715202X,Ms.,Bessie423,Kunze215,,,S,white,nonhispanic,F,Springfield  Massachusetts  US,642 Klein Mission Apt 67,Brockton,Massachusetts,Plymouth County,2301.0,42.09271531073468,-71.0549139865955,1380653.79,12088.85,False,True,no_covid_died
972c7a80-848d-491a-9855-340ef8c6a610,1911-12-17,1996-10-16,999-91-2446,S99940903,X85757311X,Mr.,Ollie731,Conn188,,,M,white,nonhispanic,M,Leominster  Massachusetts  US,976 Lebsack Dale Unit 81,West Tisbury,Massachusetts,Dukes County,,41.42025582328472,-70.6733207665589,1501125.76,351031.79000000004,False,True,no_covid_died
d400b110-44f8-4ff0-b56c-a12c0ed7910c,1923-10-21,1994-05-22,999-91-3016,S99951068,X39551426X,Mr.,José Eduardo181,Cazares77,,,M,white,hispanic,M,Port-au-Prince  Haiti  HT,413 Bogisich Park Unit 5,Agawam,Massachusetts,Hampden County,1030.0,42.107606372474336,-72.65401489869895,1532556.9300000002,11258.87,False,True,no_covid_died
4cca1356-2aa6-46de-9510-362dcc5fb077,1949-03-29,2005-03-19,999-82-2738,S99973709,X76398030X,Mrs.,Delphine397,Price929,,Goodwin327,M,white,nonhispanic,F,Leverett  Massachusetts  US,492 Bergnaum Parade,Haverhill,Massachusetts,Essex County,,42.7592504020355,-71.11158015267243,1282146.23,10036.149999999998,False,True,no_covid_died
53172fe7-5fac-4a90-a129-691496d28be7,1933-05-14,1994-12-05,999-67-8584,S99945872,X80495083X,Mrs.,Temeka297,Reichel38,,D'Amore443,M,white,nonhispanic,F,Beverly  Massachusetts  US,106 Kirlin Byway Unit 77,Waltham,Massachusetts,Middlesex County,,42.381315661451936,-71.27933169533965,1289280.73,448789.3000000002,False,True,no_covid_died
309f6ce4-5494-4458-8687-3f762778b2f4,1911-02-25,2009-01-10,999-60-8131,S99953214,X83848348X,Mrs.,Maricela194,Hane680,,McLaughlin530,M,white,nonhispanic,F,Worcester  Massachusetts  US,875 Lubowitz Arcade,Lowell,Massachusetts,Middlesex County,1852.0,42.63600818054539,-71.2496633553047,426530.56,72418.81999999999,False,True,no_covid_died
19e7b8e2-a2c1-43bc-b746-127fb21515d6,1929-12-22,2008-07-12,999-48-5843,S99991944,X87340496X,Mr.,Weldon459,Bauch723,,,M,black,nonhispanic,M,Lexington  Massachusetts  US,309 Walter Wall Apt 51,Newton,Massachusetts,Middlesex County,2467.0,42.297473968771,-71.2030163933304,1695616.5,20715.52,False,True,no_covid_died
8a4c833f-4b68-41c6-8cc7-6449b8627a60,1938-04-15,2009-07-25,999-44-5976,S99935849,X9002069X,Mr.,Marcos263,Senger904,,,S,black,nonhispanic,M,East Longmeadow  Massachusetts  US,287 Bruen Avenue,Milford,Massachusetts,Worcester County,,42.20054989487324,-71.49108900695798,1672807.97,186077.20000000004,False,True,no_covid_died
8e64055e-0e1b-425c-ac96-27e4f242a17f,1920-12-04,1985-01-30,999-44-9212,S99963250,X44368255X,Mr.,Morton637,Volkman526,,,M,white,nonhispanic,M,Mattapoisett  Massachusetts  US,138 Windler Manor Suite 5,Orange,Massachusetts,Franklin County,1364.0,42.56584095310856,-72.29366396753326,19139.48,0.0,False,True,no_covid_died
0485befe-359c-4441-905e-1950f7a91038,1948-06-30,2014-05-21,999-56-9764,S99924047,X56275102X,Mr.,Romeo514,Block661,,,M,white,nonhispanic,M,Adams  Massachusetts  US,913 Mosciski Promenade,Easthampton,Massachusetts,Hampshire County,1027.0,42.25050878329001,-72.64289868257717,1505211.6700000002,6486.839999999999,False,True,no_covid_died
e6370380-0a16-46da-8270-05ee380161f0,1915-08-10,1988-12-27,999-25-4756,S99966916,X55750956X,Mrs.,Karren465,Dach178,,Blick895,M,white,nonhispanic,F,Taunton  Massachusetts  US,751 Batz Meadow Apt 8,Pepperell,Massachusetts,Middlesex County,1463.0,42.650008555147416,-71.64680261668819,1404187.54,10937.159999999998,False,True,no_covid_died
753132a6-eb3d-4a27-8f58-26e96f65b900,1914-06-11,1995-07-07,999-33-4600,S99972255,X31681560X,Mrs.,Illa976,Ritchie586,,Weber641,M,white,hispanic,F,Boston  Massachusetts  US,133 Lebsack Annex,Brockton,Massachusetts,Plymouth County,2301.0,42.0934242757189,-70.97064498046933,1486707.16,13013.759999999998,False,True,no_covid_died
2eac435b-cfd8-4628-87c3-42de2d8822c4,1968-06-14,1991-04-26,999-76-2282,S99961877,X67058542X,Ms.,Filomena215,Powlowski563,,,,white,nonhispanic,F,Wellesley  Massachusetts  US,750 Rau Rue Suite 75,Brockton,Massachusetts,Plymouth County,2302.0,42.12507257646747,-70.9723194803687,539383.52,3448.5799999999995,False,True,no_covid_died
60b1aee3-c811-4cae-81c5-019095bc5ce3,1926-11-14,2005-06-12,999-35-9820,S99953869,X25891749X,Mr.,Mickey576,Corkery305,,,M,white,nonhispanic,M,Winchester  Massachusetts  US,759 Beer Harbor Apt 98,Milford,Massachusetts,Worcester County,,42.20835769568862,-71.49891849236955,1694157.26,10953.15,False,True,no_covid_died
c432852e-979e-494c-af63-636cd2d6ae49,1912-10-28,1970-08-15,999-44-7252,S99937712,X29776901X,Mrs.,Virgie92,Deckow585,,Casper496,M,black,hispanic,F,Haverhill  Massachusetts  US,612 Bauch Knoll,Springfield,Massachusetts,Hampden County,1118.0,42.116465497024265,-72.50511655016378,1248023.83,30996.61999999999,False,True,no_covid_died
83ed6a40-08ce-4a74-a7ad-43032bbef231,1949-01-07,1955-02-05,999-93-3247,,,,Anastasia959,Hoeger474,,,,white,nonhispanic,F,Boston  Massachusetts  US,511 Yost Ville Unit 36,Boston,Massachusetts,Suffolk County,2118.0,42.26916239202588,-71.07542905224892,127651.25,1032.36,False,True,no_covid_died
aa40e1b1-77ce-4df8-a7e4-ba5f426d48b2,1954-09-29,2015-04-23,999-62-8636,S99983524,X5641979X,Mrs.,Anika194,Larson43,,Kohler843,M,native,nonhispanic,F,Webster  Massachusetts  US,521 Blick View,Norton,Massachusetts,Bristol County,,41.98315770897538,-71.13403840052821,116271.47,12122.2,False,True,no_covid_died
e112c34a-4129-4cfa-b6ec-ec7a7d9729fd,1914-06-15,1991-08-03,999-61-8558,S99943132,X3045868X,Mrs.,Vi771,Strosin214,,Rowe323,M,white,nonhispanic,F,West Tisbury  Massachusetts  US,713 Veum Neck Suite 30,Wilmington,Massachusetts,Middlesex County,,42.51703528371177,-71.19747869568698,1466334.4,19881.12,False,True,no_covid_died
1b95f3c6-b984-4eac-bf63-8afeb582528d,1952-08-06,2020-03-27,999-11-5298,S99947141,X46936409X,Mr.,Devin82,Cole117,,,M,black,nonhispanic,M,Sandwich  Massachusetts  US,833 McClure Underpass Suite 69,Attleboro,Massachusetts,Bristol County,2703.0,41.88559837036382,-71.30842630072827,1607707.1800000002,10437.57,False,True,no_covid_died
bf6a7341-fbb9-4e07-99f3-e0e045e9bc4d,1958-11-25,2020-03-24,999-36-1435,S99910851,X85289603X,Mr.,Roderick835,Wuckert783,,,M,white,nonhispanic,M,Sudbury  Massachusetts  US,626 Leannon Byway Suite 4,Leominster,Massachusetts,Worcester County,1420.0,42.541423242384745,-71.77704619065157,1336169.65,14876.25,False,True,no_covid_died
a19cce8c-d391-44b7-a362-81b970619a69,1922-08-22,1976-11-14,999-17-1306,S99916178,X2900629X,Mrs.,Felicidad691,Terry864,,Reynolds644,M,white,nonhispanic,F,Lawrence  Massachusetts  US,151 DuBuque Parade Suite 66,Leominster,Massachusetts,Worcester County,1420.0,42.51563499967352,-71.75960490696414,1138118.83,11847.879999999996,False,True,no_covid_died
a25fea9d-4b23-4908-93b2-c82fa6e3dff4,1937-07-06,2013-01-25,999-57-7873,S99978538,X42488121X,Mrs.,Marchelle563,Sawayn19,,Kulas532,M,white,nonhispanic,F,Salem  Massachusetts  US,734 Feil Extension Suite 89,Brockton,Massachusetts,Plymouth County,2301.0,42.09667236203975,-71.08637326778081,1580698.61,7382.639999999999,False,True,no_covid_died
ed8d41a3-9f14-48bf-8ac1-ae8a1f11f24e,1953-06-18,2009-01-02,999-15-3300,S99912769,X33645093X,Mrs.,Mariko625,Mraz590,,Oberbrunner298,M,white,nonhispanic,F,Boston  Massachusetts  US,519 Fadel Fork Suite 92,Beverly,Massachusetts,Essex County,1915.0,42.53613990466437,-70.85902185522107,1273784.39,5908.56,False,True,no_covid_died
df31d6c1-54b9-435f-bcea-40d254a3b095,1935-10-05,2020-03-20,999-53-9921,S99993320,X53980606X,Mr.,Thurman577,Thiel172,,,M,black,nonhispanic,M,Framingham  Massachusetts  US,329 Deckow Walk Unit 21,Boston,Massachusetts,Suffolk County,2118.0,42.29971345910823,-71.17857980843603,1400985.23,12066.0,False,True,no_covid_died
00fb0c2d-042a-45c8-afba-a643803e9ce7,1926-11-14,1992-11-03,999-92-1315,S99951871,X23985640X,Mr.,Len277,Huels583,,,M,white,nonhispanic,M,Boston  Massachusetts  US,743 Schoen Port Apt 12,Milford,Massachusetts,Worcester County,,42.13195711611501,-71.536131154801,1738294.44,95872.89000000004,False,True,no_covid_died
d26c1733-38d6-422d-8960-d53ccb173fe4,1962-10-29,2015-05-26,999-42-5959,S99969757,X51477939X,Mrs.,Anthony633,Carroll471,,Russel238,M,black,nonhispanic,F,Chelmsford  Massachusetts  US,1014 Nader Junction,Boston,Massachusetts,Suffolk County,2126.0,42.39635470465555,-71.01769205839398,1353692.92,4249.639999999999,False,True,no_covid_died
87ca2512-34fa-45c1-8889-604b83bfa0ec,1916-08-26,1995-03-05,999-74-6274,S99967213,X29319023X,Mr.,Deshawn686,Farrell962,,,M,white,nonhispanic,M,Beverly  Massachusetts  US,769 Towne Union Suite 0,Lowell,Massachusetts,Middlesex County,1850.0,42.62743506955516,-71.36072268357833,1784126.12,11020.62,False,True,no_covid_died
40ad23b4-382e-4727-b3e8-926cad0a6782,1933-05-14,2019-05-03,999-24-5797,S99935940,X19625577X,Mrs.,Frankie174,Brakus656,,O'Connell601,M,white,nonhispanic,F,Holyoke  Massachusetts  US,1058 Auer Crossing,Waltham,Massachusetts,Middlesex County,2472.0,42.40096534533721,-71.25757660155756,1488912.88,51842.98999999999,False,True,no_covid_died
f0a3834a-f4b3-4811-a297-ec8268aba4f7,1920-06-05,2004-12-16,999-21-6854,S99956513,X32764192X,Mr.,Jonathon205,Metz686,,,M,white,nonhispanic,M,Belmont  Massachusetts  US,975 Johns Path Apt 94,Southampton,Massachusetts,Hampshire County,,42.2669097417235,-72.77669329433553,1712562.56,15671.15,False,True,no_covid_died
d0e110c0-4a61-4bbd-a3bd-1ef2a28e9c39,1965-08-31,1990-11-06,999-75-6049,S99993461,X22945770X,Mr.,Jack927,Ebert178,,,,white,nonhispanic,M,Hopedale  Massachusetts  US,981 Langworth Divide,Quincy,Massachusetts,Norfolk County,2170.0,42.29991889209936,-70.99005053798741,676737.94,2224.8,False,True,no_covid_died
b1385686-0b35-4366-a4f3-5b8779d18ecc,1922-08-15,2017-03-07,999-69-7819,S99940531,X1040156X,Mr.,Shayne60,Lubowitz58,,,M,black,nonhispanic,M,Boston  Massachusetts  US,245 Kutch Run Suite 3,Worcester,Massachusetts,Worcester County,1545.0,42.20602966306184,-71.75186874240093,1965666.36,154009.88999999998,False,True,no_covid_died
27b42a7c-e733-40ce-b140-4ac1ab7b711c,1946-01-26,2011-08-15,999-39-9426,S99960555,X418485X,Mr.,Winford225,Rowe323,,,S,white,nonhispanic,M,Chicopee  Massachusetts  US,673 Quitzon Key Unit 47,Newton,Massachusetts,Middlesex County,2462.0,42.34182641282043,-71.22593851725047,1645432.87,6970.2,False,True,no_covid_died
fc2ce8d2-d17b-4c45-9bad-9b2a52adad06,1949-10-23,1999-05-30,999-82-7407,S99920513,X25617627X,Mr.,Albert312,Orn563,,,S,white,nonhispanic,M,North Adams  Massachusetts  US,160 Von Throughway Apt 52,Norton,Massachusetts,Bristol County,,42.013853743932906,-71.134521549293,1249595.23,9303.2,False,True,no_covid_died
7ec261cc-5e13-47fe-85e9-2b4be0a10380,1910-01-25,1994-02-10,999-81-8254,S99964394,X31682539X,Mrs.,Roy364,Bartell116,,Keeling57,M,white,hispanic,F,Lynn  Massachusetts  US,208 Aufderhar Crossroad,Westfield,Massachusetts,Hampden County,,42.12674810660715,-72.79216244371838,1342395.56,19473.07,False,True,no_covid_died
